K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46,K51,K52,K53,K54,K55,K56,K61,K62,K63,K64,K65,K66,vol
6463.74799,2927.495979,2927.495979,680.7695984,0,0,2927.495979,7121.780348,4588.203568,1361.539197,0,0,2927.495979,4588.203568,7121.780348,1361.539197,0,0,256.9068164,513.8136327,513.8136327,3453.900497,0,0,0,0,0,0,2762.607506,465.9275411,0,0,0,0,465.9275411,2762.607506,0.000153372
6555.547531,3102.456514,3119.73361,110.9487184,0,0,3141.573873,7493.576452,5072.719041,345.5340394,0,0,3080.616251,4916.249605,7406.215401,98.26083415,0,0,18.61850088,18.539533,55.93447051,4225.41232,0,0,0,0,0,0,2953.509252,69.24255125,0,0,0,0,23.14760031,3138.385181,0.000153372
6552.273206,3091.92859,3117.164232,29.88114694,0,0,3113.710266,7453.077215,5001.76385,133.8798789,0,0,3095.382556,4914.637145,7466.893079,-14.35529115,0,0,9.245181221,21.95977865,15.02094623,4141.507174,0,0,0,0,0,0,3001.711018,20.62590155,0,0,0,0,19.90755386,3048.517008,0.000153372
6551.597758,3081.217873,3125.173159,14.17018415,0,0,3098.683414,7423.95659,4970.777066,56.13313702,0,0,3107.707618,4900.914903,7529.915571,0.547599561,0,0,5.781671009,7.160846485,15.96583755,4155.314866,0,0,0,0,0,0,3032.287364,14.84970558,0,0,0,0,14.1114794,3013.041401,0.000153372
6551.427918,3067.49278,3138.218894,9.949340344,0,0,3086.962015,7403.427417,4944.420644,36.20815585,0,0,3118.749658,4866.543703,7608.454931,3.589205521,0,0,5.939727696,13.36832594,10.39058484,4151.178061,0,0,0,0,0,0,3060.162034,14.41892066,0,0,0,0,14.33069841,2983.772774,0.000153372
6551.407022,3050.391048,3155.237041,8.857948766,0,0,3074.667905,7379.275431,4919.396188,26.71446714,0,0,3130.960185,4822.288761,7701.551977,8.717327928,0,0,6.354408542,10.78370426,14.63392991,4138.871562,0,0,0,0,0,0,3090.029397,15.68797401,0,0,0,0,15.8078254,2953.665943,0.000153372
6551.461887,3029.888131,3175.959416,8.89480548,0,0,3061.052549,7353.308592,4890.901602,23.66100455,0,0,3144.794998,4766.243931,7812.936062,11.91821737,0,0,7.260973203,15.18317779,13.86071502,4118.236052,0,0,0,0,0,0,3123.587431,17.56380482,0,0,0,0,17.86762321,2920.414227,0.000153372
6551.581755,3006.017875,3200.309144,9.415407862,0,0,3045.613286,7323.03414,4859.419004,22.57447155,0,0,3160.713734,4701.037362,7941.817572,15.08715989,0,0,8.178289652,15.09127491,17.6218837,4091.230675,0,0,0,0,0,0,3161.588851,19.68643562,0,0,0,0,20.19449571,2883.163987,0.000153372
6551.774286,2978.830045,3228.2671,10.16719125,0,0,3028.203883,7289.338204,4823.477327,22.90582955,0,0,3178.893262,4625.981977,8089.591073,17.76293545,0,0,9.231113235,18.60466022,18.31979272,4058.38058,0,0,0,0,0,0,3204.412747,21.90568416,0,0,0,0,22.66336595,2841.571867,0.000153372
6552.054501,2948.384299,3259.833705,11.03574416,0,0,3008.686703,7251.29879,4783.448024,23.7994071,0,0,3199.531301,4542.238407,8255.886798,20.34356955,0,0,10.28610776,19.4348325,21.70959854,4020.274157,0,0,0,0,0,0,3252.269116,24.14781481,0,0,0,0,25.21294631,2795.518466,0.000153372
6552.441363,2914.750644,3295.014808,11.96240527,0,0,2987.002567,7209.332434,4738.677833,25.1309937,0,0,3222.762885,4449.670142,8441.381399,22.71862737,0,0,11.39807045,22.53160174,23.06068005,3977.212042,0,0,0,0,0,0,3305.279761,26.36988757,0,0,0,0,27.80882492,2745.000861,0.000153372
6552.95647,2878.011275,3333.814603,12.91320494,0,0,2963.090392,7162.974484,4689.387085,26.66802646,0,0,3248.735486,4349.070617,8645.871326,24.98479331,0,0,12.51410395,23.82634822,26.23006757,3929.508621,0,0,0,0,0,0,3363.512018,28.54226735,0,0,0,0,30.42781506,2690.088706,0.000153372
6553.623351,2838.262653,3376.230749,13.8657791,0,0,2936.917571,7112.411639,4635.258645,28.3752748,0,0,3277.575832,4240.638975,8869.664351,27.08784162,0,0,13.65871763,26.73649747,27.89837303,3877.435986,0,0,0,0,0,0,3426.992432,30.64115355,0,0,0,0,33.05103866,2630.905285,0.000153372
6554.466955,2795.617273,3422.250546,14.80336128,0,0,2908.455031,7057.364895,4576.455229,30.174991,0,0,3309.412788,4125.104195,9112.546956,29.0384541,0,0,14.80388188,28.31036024,30.90516729,3821.309808,0,0,0,0,0,0,3495.711453,32.64516551,0,0,0,0,35.66053468,2567.619098,0.000153372
6555.513138,2750.205323,3471.847228,15.71183794,0,0,2877.692412,6997.901005,4512.868644,32.05586984,0,0,3344.360139,4002.920289,9374.520268,30.79148193,0,0,15.9587968,31.15364444,32.68154275,3761.479989,0,0,0,0,0,0,3569.623422,34.53371738,0,0,0,0,38.23744736,2500.440347,0.000153372
6556.788098,2702.176642,3524.975749,16.57823685,0,0,2844.630329,6933.853328,4444.667988,33.98666584,0,0,3382.522062,3874.853239,9655.235008,32.32628156,0,0,17.10328636,32.89403265,35.51911279,3698.362226,0,0,0,0,0,0,3648.643299,36.28625037,0,0,0,0,40.76096377,2429.620379,0.000153372
6558.317693,2651.702613,3581.568158,17.38995049,0,0,2809.290111,6865.236437,4371.924007,35.96067437,0,0,3423.98066,3741.574013,9954.348625,33.59912759,0,0,18.23693159,35.72285785,37.22486851,3632.436816,0,0,0,0,0,0,3732.641673,37.88193687,0,0,0,0,43.20766701,2355.452192,0.000153372
6560.12667,2598.97744,3641.529239,18.13437402,0,0,2771.712583,6791.999377,4294.850957,37.95881162,0,0,3468.794095,3603.910382,10271.266,34.57868445,0,0,19.34067406,37.5143543,39.84834195,3564.259144,0,0,0,0,0,0,3821.439382,39.29968077,0,0,0,0,45.5511669,2278.270733,0.000153372
6562.237766,2544.21517,3704.735894,18.79878776,0,0,2731.965092,6714.13954,4213.720828,39.96948438,0,0,3516.985972,3462.72114,10605.22275,35.22566667,0,0,20.40689556,40.34563373,41.28194851,3494.454932,0,0,0,0,0,0,3914.801722,40.51829926,0,0,0,0,47.76191423,2198.452911,0.000153372
6564.67061,2487.555971,3771.126469,19.37040082,0,0,2690.143225,6631.348042,4129.224857,41.97050474,0,0,3568.539216,3318.875843,10955.28102,35.51109854,0,0,21.41497173,42.44586428,43.21402263,3423.718167,0,0,0,0,0,0,4012.431686,41.51682599,0,0,0,0,49.80715419,2116.417786,0.000153372
6567.35618,2429.324469,3840.100252,19.44293703,0,0,2645.941344,6543.68089,4040.084486,43.08018188,0,0,3623.483377,3173.616984,11320.31652,34.69156623,0,0,21.9116956,43.45992235,44.18686005,3352.167552,0,0,0,0,0,0,4114.570095,41.45456861,0,0,0,0,50.63979779,2031.811822,0.000153174
6570.539655,2369.014264,3913.144355,19.01724007,0,0,2599.494868,6451.481111,3946.49836,43.22579644,0,0,3682.663751,3024.575946,11706.07906,32.84316384,0,0,21.86110301,43.4304065,44.01400556,3280.616268,0,0,0,0,0,0,4221.581036,40.3091261,0,0,0,0,50.20125448,1945.117808,0.000147175
